DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
12-Sep-2023,EQ,593.65,594.25,584.65,591.70,587.60,588.35,588.44,629.55,499.35,16093060,"9,46,98,53,287.90",254109
11-Sep-2023,EQ,587.00,592.30,585.35,583.45,591.25,591.70,590.12,629.55,499.35,10946134,"6,45,95,50,843.30",271751
08-Sep-2023,EQ,581.00,588.50,579.70,579.05,583.40,583.45,584.57,629.55,499.35,14032068,"8,20,27,79,359.95",205241
07-Sep-2023,EQ,568.00,581.00,568.00,570.50,580.60,579.05,575.60,629.55,499.35,12390597,"7,13,20,78,107.95",180550
06-Sep-2023,EQ,574.25,574.25,568.00,573.00,570.95,570.50,570.55,629.55,499.35,20609936,"11,75,91,00,652.10",337013
05-Sep-2023,EQ,575.60,578.25,571.35,575.55,572.95,573.00,574.05,629.55,499.35,14444729,"8,29,20,19,922.20",247672
04-Sep-2023,EQ,572.00,576.35,568.45,569.55,575.60,575.55,572.87,629.55,499.35,12108655,"6,93,66,98,350.40",195524
01-Sep-2023,EQ,562.70,571.20,562.10,561.35,569.50,569.55,567.55,629.55,499.35,18121168,"10,28,47,01,912.55",260408
31-Aug-2023,EQ,569.30,570.30,559.40,567.40,562.15,561.35,564.43,629.55,499.35,27898476,"15,74,66,86,711.25",326854
30-Aug-2023,EQ,576.70,577.70,566.10,574.85,567.50,567.40,571.91,629.55,499.35,15281416,"8,73,96,16,795.90",245036
29-Aug-2023,EQ,573.65,576.30,571.85,572.85,575.25,574.85,574.01,629.55,499.35,13144855,"7,54,53,23,890.40",232951
28-Aug-2023,EQ,572.80,574.80,569.20,569.95,573.10,572.85,571.84,629.55,499.35,9711932,"5,55,37,05,392.90",181649
25-Aug-2023,EQ,573.80,575.30,567.20,576.95,569.70,569.95,571.20,629.55,499.35,12271885,"7,00,96,92,537.00",198589
24-Aug-2023,EQ,578.15,582.00,575.55,576.90,577.00,576.95,578.00,629.55,499.35,24131644,"13,94,80,78,521.65",321952
23-Aug-2023,EQ,571.00,577.95,566.00,568.50,576.30,576.90,572.66,629.55,499.35,18579297,"10,63,96,20,981.45",260827
22-Aug-2023,EQ,572.50,574.45,567.50,571.70,568.20,568.50,570.63,629.55,499.35,14073413,"8,03,07,60,756.35",194890
21-Aug-2023,EQ,572.95,575.55,570.75,572.95,571.30,571.70,572.74,629.55,499.35,9380810,"5,37,27,33,325.40",154325
18-Aug-2023,EQ,570.00,575.25,567.40,572.15,571.15,572.95,571.79,629.55,499.35,18253227,"10,43,70,30,633.70",296911
17-Aug-2023,EQ,565.75,573.15,564.00,565.35,571.75,572.15,568.81,629.55,499.35,27910162,"15,87,54,89,835.20",338178
16-Aug-2023,EQ,558.80,566.40,554.00,560.80,565.05,565.35,563.54,629.55,499.35,15725767,"8,86,20,34,153.75",190829
14-Aug-2023,EQ,572.95,573.00,558.60,574.15,561.00,560.80,561.45,629.55,499.35,28084093,"15,76,76,94,753.00",478707
11-Aug-2023,EQ,575.45,579.00,572.00,573.65,574.50,574.15,575.36,629.55,499.35,18221179,"10,48,37,83,178.00",263372
10-Aug-2023,EQ,573.75,577.60,570.10,573.75,574.00,573.65,573.33,629.55,499.35,27325801,"15,66,65,66,522.25",421225
09-Aug-2023,EQ,575.00,575.00,568.35,573.10,573.65,573.75,571.15,629.55,499.35,15769111,"9,00,65,04,554.10",247711
08-Aug-2023,EQ,571.00,574.25,568.45,567.90,573.70,573.10,571.54,629.55,499.35,25038671,"14,31,05,53,091.45",353947
07-Aug-2023,EQ,577.00,577.00,566.65,573.30,568.35,567.90,569.52,629.55,499.35,32736325,"18,64,39,67,967.55",424649
04-Aug-2023,EQ,594.80,598.70,571.40,590.50,573.20,573.30,582.94,629.55,499.35,52725616,"30,73,59,73,949.65",568761
03-Aug-2023,EQ,598.70,600.85,585.00,598.45,591.25,590.50,590.78,629.55,499.35,27774877,"16,40,88,64,220.80",320867
02-Aug-2023,EQ,609.85,610.50,594.10,611.85,598.80,598.45,601.63,629.55,499.35,14977497,"9,01,09,47,970.40",273820
01-Aug-2023,EQ,620.20,620.85,610.60,620.20,612.40,611.85,614.09,629.55,499.35,13493453,"8,28,62,25,481.95",199918
31-Jul-2023,EQ,616.65,621.00,614.50,616.05,619.00,620.20,618.92,629.55,499.35,8605483,"5,32,61,28,162.15",124305
28-Jul-2023,EQ,616.40,619.90,613.60,616.55,616.00,616.05,616.59,629.55,499.35,11930586,"7,35,62,36,982.10",161432
27-Jul-2023,EQ,616.40,621.25,613.10,615.15,617.00,616.55,616.65,629.55,499.35,17444742,"10,75,73,20,781.55",226610
26-Jul-2023,EQ,612.00,616.35,609.15,609.60,614.40,615.15,613.49,629.55,499.35,9999125,"6,13,44,01,476.75",172572
25-Jul-2023,EQ,621.80,621.80,604.20,617.65,609.90,609.60,610.43,629.55,499.35,18503305,"11,29,48,99,424.10",282970
24-Jul-2023,EQ,615.05,621.90,614.30,615.10,617.90,617.65,618.22,629.55,499.35,11756364,"7,26,80,33,560.60",202347
21-Jul-2023,EQ,610.00,619.50,609.00,610.05,615.35,615.10,616.02,629.55,482.10,21040281,"12,96,12,08,006.40",278392
20-Jul-2023,EQ,601.40,610.80,598.75,601.45,610.00,610.05,607.09,629.55,482.10,34038351,"20,66,41,79,322.85",418329
19-Jul-2023,EQ,594.65,602.40,592.00,592.35,600.85,601.45,598.20,629.55,482.10,17556585,"10,50,24,35,041.00",229380
18-Jul-2023,EQ,603.05,604.05,588.75,601.10,592.50,592.35,597.04,629.55,482.10,25757209,"15,37,80,20,448.05",356474
17-Jul-2023,EQ,587.00,602.85,584.20,584.40,602.00,601.10,594.72,629.55,482.10,19378986,"11,52,51,51,182.85",255411
14-Jul-2023,EQ,586.75,591.30,580.70,585.65,584.85,584.40,584.92,629.55,474.70,12190152,"7,13,02,26,704.30",191652
13-Jul-2023,EQ,594.90,598.00,583.35,589.25,586.00,585.65,591.82,629.55,474.70,20024503,"11,85,08,04,940.95",292405
12-Jul-2023,EQ,589.00,594.50,588.20,588.55,589.60,589.25,590.82,629.55,474.70,16029716,"9,47,06,54,030.50",227576
11-Jul-2023,EQ,595.00,595.95,587.35,592.60,589.35,588.55,591.37,629.55,474.70,13221177,"7,81,86,63,062.75",224137
10-Jul-2023,EQ,594.65,599.80,590.25,593.60,591.60,592.60,595.13,629.55,474.70,11417363,"6,79,48,59,601.00",175959
07-Jul-2023,EQ,590.00,595.50,585.50,592.50,592.50,593.60,590.44,629.55,466.85,11707209,"6,91,24,13,770.85",220036
06-Jul-2023,EQ,590.40,593.50,589.10,590.60,592.25,592.50,591.75,629.55,466.85,11323509,"6,70,06,79,504.10",188528
05-Jul-2023,EQ,589.80,593.70,588.20,589.25,591.25,590.60,590.50,629.55,466.85,13598114,"8,02,97,06,202.95",271617
